Package,Minimal version,Usage
matplotlib,3.1,Visualizing results
numba,0.56,Just-in-time compilation to accelerate numerics
numpy,1.22,Handling numerical data
py-modelrunner,0.15,Handling input/output
scipy,1.10,Miscellaneous scientific functions
sympy,1.9,Dealing with user-defined mathematical expressions
tqdm,4.60,Display progress bars during calculations
